KO > |Aa Harimanada (Japan)(!).zip
OK  > |Addams Family, The (World).zip
OK  > |Adventures of Batman & Robin, The (USA, Europe).zip
KO > |Aerial Assault (Japan) (Rev 1).zip
KO > |Aerial Assault (World)(TOTO).zip
KO > |Aladdin (Japan).zip
OK  > |Aladdin (USA, Europe).zip
KO > |Alien 3 (Japan).zip
OK  > |Alien 3 (USA, Europe).zip
KO > |Alien Syndrome (Japan).zip
OK  > |Alien Syndrome (USA, Europe).zip
OK  > |Andre Agassi Tennis (USA).zip
OK  > |Arcade Classics (USA).zip
OK  > |Arch Rivals (USA).zip
OK  > |Arena (USA, Europe).zip
OK  > |Ariel the Little Mermaid (USA, Europe).zip
KO > |Arliel - Crystal Densetsu (Japan).zip
KO > |Asterix and the Great Rescue (USA).zip
KO > |Asterix and the Great Rescue (Europe) (En,Fr,De,Es,It).zip
OK  > |Asterix and the Secret Mission (Europe) (En,Fr,De).zip
OK  > |Ax Battler - A Legend of Golden Axe (USA, Europe).zip
KO > |Ax Battler - A Legend of Golden Axe (USA, Europe) (v2.0) (Beta).zip
KO > |Ax Battler - Golden Axe Densetsu (Japan).zip
KO > |Ayrton Senna's Super Monaco GP II (Japan).zip
OK  > |Ayrton Senna's Super Monaco GP II (USA, Europe).zip
KO > |Ayrton Senna's Super Monaco GP II (USA, Europe) (Beta).zip
KO > |Baku Baku Animal - Sekai Shiikugakari Senshu-ken (Japan).zip
KO > |Baku Baku Animal (USA).zip
KO > |Baku Baku Animal (Europe).zip
KO > |Barbie Super Model (Unknown) (Proto).zip
OK  > |Bare Knuckle ~ Streets of Rage (World).zip
OK  > |Bare Knuckle II ~ Streets of Rage 2 ~ Streets of Rage II (World).zip
OK  > |Bartman Meets Radioactive Man (USA).zip
OK  > |Batman Forever (World).zip
OK  > |Batman Returns (World).zip
OK  > |Batter Up (USA, Europe).zip
OK  > |Battleship (USA, Europe).zip
KO > |Battletoads (USA).zip
KO > |Battletoads (Japan, Europe).zip
OK  > |Beavis and Butt-Head (USA, Europe).zip
KO > |Beavis and Butt-Head (USA, Europe) (Beta).zip
OK  > |Berenstain Bears' Camping Adventure, The (USA).zip
KO > |Berlin no Kabe (Japan).zip
KO > |Bishoujo Senshi Sailor Moon S (Japan).zip
OK  > |Bonkers Wax Up! (USA, Europe).zip
KO > |Bram Stoker's Dracula (USA).zip
KO > |Bram Stoker's Dracula (Europe).zip
OK  > |Bubble Bobble (USA, Europe).zip
OK  > |Bugs Bunny in Double Trouble (USA, Europe).zip
OK  > |Bust-A-Move (USA, Europe).zip
KO > |Buster Ball (Japan).zip
KO > |Buster Fight (Japan).zip
OK  > |Caesars Palace (USA).zip
OK  > |Captain America and the Avengers (USA, Europe).zip
KO > |Car Licence (Japan).zip
OK  > |Casino Funpak (USA).zip
OK  > |Castle of Illusion Starring Mickey Mouse (USA, Europe).zip
OK  > |Chakan (USA, Europe).zip
OK  > |Championship Hockey (Europe).zip
OK  > |Cheese Cat-Astrophe Starring Speedy Gonzales (Europe) (En,Fr,De,Es).zip
OK  > |Chessmaster, The (USA, Europe).zip
OK  > |Chicago Syndicate (USA, Europe).zip
OK  > |Choplifter III (USA).zip
KO > |Chuck Rock II - Son of Chuck (USA).zip
KO > |Chuck Rock II - Son of Chuck (Europe).zip
OK  > |Chuck Rock (World).zip
KO > |Chuck Rock (World) (Beta).zip
OK  > |CJ Elephant Fugitive (Europe).zip
OK  > |Cliffhanger (USA).zip
OK  > |Clutch Hitter (USA).zip
KO > |Coca-Cola Kid (Japan).zip
OK  > |Columns (USA, Europe).zip
KO > |Columns (Japan) (En).zip
KO > |Columns (Japan) (En) (Rev 1).zip
KO > |Cool Spot (USA).zip
KO > |Cool Spot (Europe).zip
OK  > |Cosmic Spacehead (Europe).zip
KO > |Crayon Shin-chan - Taiketsu! Kantam Panic!! (Japan).zip
KO > |Crazy Faces (Unknown) (Proto).zip
